Largeur	Longueur	Hauteur	Trou	Pente	PartNumber
1	1	1	false	0	1
1	1	1	false	1	2
1	1	1	false	2	3	
1	1	1	true	0	4
1	1	1	true	1	5
1	1	1	true	2	6
1	1	3	false	0	7
1	1	3	false	1	8
1	1	3	false	2	9
1	1	3	true	0	10
1	1	3	true	1	11
1	1	3	true	2	12
1	2	1	false	0	13
1	2	1	false	1	14
1	2	1	false	2	15
1	2	1	true	0	16
1	2	1	true	1	17
1	2	1	true	2	18	
1	2	3	false	0	19
1	2	3	false	1	20
1	2	3	false	2	21
1	2	3	true	0	22
1	2	3	true	1	23
1	2	3	true	2	24	
1	3	1	false	0	25
1	3	1	false	1	26
1	3	1	false	2	27
1	3	1	true	0	28
1	3	1	true	1	29
1	3	1	true	2	30
1	3	3	false	0	31
1	3	3	false	1	32
1	3	3	false	2	33
1	3	3	true	0	34
1	3	3	true	1	35
1	3	3	true	2	36	
1	4	1	false	0	37
1	4	1	false	1	38
1	4	1	false	2	39
1	4	1	true	0	40
1	4	1	true	1	41
1	4	1	true	2	42
1	4	3	false	0	43
1	4	3	false	1	44
1	4	3	false	2	45
1	4	3	true	0	46
1	4	3	true	1	47
1	4	3	true	2	48
1	6	1	false	0	49
1	6	1	false	1	50
1	6	1	false	2	51
1	6	1	true	0	52
1	6	1	true	1	53
1	6	1	true	2	54
1	6	3	false	0	55	
1	6	3	false	1	56
1	6	3	false	2	57
1	6	3	true	0	58
1	6	3	true	1	59
1	6	3	true	2	60
1	8	1	false	0	61
1	8	1	false	1	62
1	8	1	false	2	63
1	8	1	true	0	64
1	8	1	true	1	65
1	8	1	true	2	66
1	8	3	false	0	67
1	8	3	false	1	68
1	8	3	false	2	69
1	8	3	true	0	70
1	8	3	true	1	71
1	8	3	true	2	72	
1	10	1	false	0	73
1	10	1	false	1	74
1	10	1	false	2	75
1	10	1	true	0	76
1	10	1	true	1	77
1	10	1	true	2	78
1	10	3	false	0	79
1	10	3	false	1	80	
1	10	3	false	2	81
1	10	3	true	0	82
1	10	3	true	1	83
1	10	3	true	2	84
1	12	1	false	0	85
1	12	1	false	1	86
1	12	1	false	2	87
1	12	1	true	0	88
1	12	1	true	1	89
1	12	1	true	2	90	
1	12	3	false	0	91	
1	12	3	false	1	92
1	12	3	false	2	93
1	12	3	true	0	94
1	12	3	true	1	95
1	12	3	true	2	96
1	14	1	false	0	97
1	14	1	false	1	98
1	14	1	false	2	99
1	14	1	true	0	100
1	14	1	true	1	101
1	14	1	true	2	102	
1	14	3	false	0	103
1	14	3	false	1	104
1	14	3	false	2	105
1	14	3	true	0	106
1	14	3	true	1	107
1	14	3	true	2	108
1	16	1	false	0	109
1	16	1	false	1	110
1	16	1	false	2	111
1	16	1	true	0	112
1	16	1	true	1	113
1	16	1	true	2	114
1	16	3	false	0	115
1	16	3	false	1	116
1	16	3	false	2	117
1	16	3	true	0	118
1	16	3	true	1	119
1	16	3	true	2	120
2	1	1	false	0	121
2	1	1	false	1	122
2	1	1	false	2	123
2	1	1	true	0	124
2	1	1	true	1	125
2	1	1	true	2	126
2	1	3	false	0	127
2	1	3	false	1	128
2	1	3	false	2	129	
2	1	3	true	0	130
2	1	3	true	1	131
2	1	3	true	2	132
2	2	1	false	0	133
2	2	1	false	1	134
2	2	1	false	2	135
2	2	1	true	0	136
2	2	1	true	1	137
2	2	1	true	2	138
2	2	3	false	0	139	
2	2	3	false	1	140
2	2	3	false	2	141
2	2	3	true	0	142
2	2	3	true	1	143
2	2	3	true	2	144
2	3	1	false	0	145
2	3	1	false	1	146
2	3	1	false	2	147
2	3	1	true	0	148
2	3	1	true	1	149
2	3	1	true	2	150
2	3	3	false	0	151
2	3	3	false	1	152	
2	3	3	false	2	153
2	3	3	true	0	154
2	3	3	true	1	155
2	3	3	true	2	156
2	4	1	false	0	157	
2	4	1	false	1	158
2	4	1	false	2	159
2	4	1	true	0	160
2	4	1	true	1	161
2	4	1	true	2	162
2	4	3	false	0	163
2	4	3	false	1	164
2	4	3	false	2	165
2	4	3	true	0	166
2	4	3	true	1	167
2	4	3	true	2	168
2	6	1	false	0	169
2	6	1	false	1	170
2	6	1	false	2	171
2	6	1	true	0	172
2	6	1	true	1	173
2	6	1	true	2	174
2	6	3	false	0	175
2	6	3	false	1	176
2	6	3	false	2	177
2	6	3	true	0	178
2	6	3	true	1	179
2	6	3	true	2	180
2	8	1	false	0	181
2	8	1	false	1	182
2	8	1	false	2	183
2	8	1	true	0	184
2	8	1	true	1	185
2	8	1	true	2	186
2	8	3	false	0	187	
2	8	3	false	1	188
2	8	3	false	2	189
2	8	3	true	0	190
2	8	3	true	1	191	
2	8	3	true	2	192
2	10	1	false	0	193
2	10	1	false	1	194	
2	10	1	false	2	195
2	10	1	true	0	196
2	10	1	true	1	197
2	10	1	true	2	198
2	10	3	false	0	199	
2	10	3	false	1	200
2	10	3	false	2	201
2	10	3	true	0	202
2	10	3	true	1	203
2	10	3	true	2	204	
2	12	1	false	0	205	
2	12	1	false	1	206
2	12	1	false	2	207
2	12	1	true	0	208
2	12	1	true	1	209
2	12	1	true	2	210
2	12	3	false	0	211
2	12	3	false	1	212
2	12	3	false	2	213
2	12	3	true	0	214
2	12	3	true	1	215
2	12	3	true	2	216
2	14	1	false	0	217
2	14	1	false	1	218
2	14	1	false	2	219
2	14	1	true	0	220
2	14	1	true	1	221
2	14	1	true	2	222
2	14	3	false	0	223
2	14	3	false	1	224
2	14	3	false	2	225
2	14	3	true	0	226
2	14	3	true	1	227
2	14	3	true	2	228
2	16	1	false	0	229
2	16	1	false	1	230
2	16	1	false	2	231
2	16	1	true	0	232
2	16	1	true	1	233
2	16	1	true	2	234
2	16	3	false	0	235
2	16	3	false	1	236
2	16	3	false	2	237
2	16	3	true	0	238	
2	16	3	true	1	239
2	16	3	true	2	240
4	1	1	false	0	241
4	1	1	false	1	242
4	1	1	false	2	243
4	1	1	true	0	244
4	1	1	true	1	245
4	1	1	true	2	246
4	1	3	false	0	247
4	1	3	false	1	248
4	1	3	false	2	249
4	1	3	true	0	250
4	1	3	true	1	251
4	1	3	true	2	252
4	2	1	false	0	253
4	2	1	false	1	254
4	2	1	false	2	255
4	2	1	true	0	256
4	2	1	true	1	257
4	2	1	true	2	258
4	2	3	false	0	259
4	2	3	false	1	260
4	2	3	false	2	261
4	2	3	true	0	262
4	2	3	true	1	263
4	2	3	true	2	264
4	3	1	false	0	265
4	3	1	false	1	266
4	3	1	false	2	267	
4	3	1	true	0	268
4	3	1	true	1	269
4	3	1	true	2	270
4	3	3	false	0	271
4	3	3	false	1	272
4	3	3	false	2	273
4	3	3	true	0	274
4	3	3	true	1	275
4	3	3	true	2	276
4	4	1	false	0	277
4	4	1	false	1	278
4	4	1	false	2	279
4	4	1	true	0	280
4	4	1	true	1	281
4	4	1	true	2	282
4	4	3	false	0	283
4	4	3	false	1	284
4	4	3	false	2	285
4	4	3	true	0	286
4	4	3	true	1	287
4	4	3	true	2	288
4	6	1	false	0	289
4	6	1	false	1	290
4	6	1	false	2	291
4	6	1	true	0	292
4	6	1	true	1	293
4	6	1	true	2	294
4	6	3	false	0	295
4	6	3	false	1	296
4	6	3	false	2	297
4	6	3	true	0	298
4	6	3	true	1	299
4	6	3	true	2	300
4	8	1	false	0	301
4	8	1	false	1	302	
4	8	1	false	2	303
4	8	1	true	0	304
4	8	1	true	1	305
4	8	1	true	2	306
4	8	3	false	0	307
4	8	3	false	1	308
4	8	3	false	2	309
4	8	3	true	0	310
4	8	3	true	1	311
4	8	3	true	2	312
4	10	1	false	0	313
4	10	1	false	1	314
4	10	1	false	2	315
4	10	1	true	0	316
4	10	1	true	1	317
4	10	1	true	2	318
4	10	3	false	0	319
4	10	3	false	1	320
4	10	3	false	2	321
4	10	3	true	0	322
4	10	3	true	1	323
4	10	3	true	2	324
4	12	1	false	0	325
4	12	1	false	1	326
4	12	1	false	2	327
4	12	1	true	0	328
4	12	1	true	1	329
4	12	1	true	2	330
4	12	3	false	0	331
4	12	3	false	1	332
4	12	3	false	2	333
4	12	3	true	0	334
4	12	3	true	1	335
4	12	3	true	2	336
4	14	1	false	0	337
4	14	1	false	1	338
4	14	1	false	2	339
4	14	1	true	0	340
4	14	1	true	1	341	
4	14	1	true	2	342	
4	14	3	false	0	343
4	14	3	false	1	344
4	14	3	false	2	345
4	14	3	true	0	346
4	14	3	true	1	347
4	14	3	true	2	348
4	16	1	false	0	349
4	16	1	false	1	350
4	16	1	false	2	351
4	16	1	true	0	352
4	16	1	true	1	353
4	16	1	true	2	354
4	16	3	false	0	355
4	16	3	false	1	356
4	16	3	false	2	357
4	16	3	true	0	358
4	16	3	true	1	359
4	16	3	true	2	360
6	1	1	false	0	361
6	1	1	false	1	362
6	1	1	false	2	363
6	1	1	true	0	364
6	1	1	true	1	365
6	1	1	true	2	366
6	1	3	false	0	367
6	1	3	false	1	368
6	1	3	false	2	369
6	1	3	true	0	370
6	1	3	true	1	371	
6	1	3	true	2	372
6	2	1	false	0	373
6	2	1	false	1	374
6	2	1	false	2	375
6	2	1	true	0	376
6	2	1	true	1	377
6	2	1	true	2	378
6	2	3	false	0	379
6	2	3	false	1	380
6	2	3	false	2	381
6	2	3	true	0	382
6	2	3	true	1	383
6	2	3	true	2	384
6	3	1	false	0	385
6	3	1	false	1	386
6	3	1	false	2	387
6	3	1	true	0	388
6	3	1	true	1	389
6	3	1	true	2	390
6	3	3	false	0	391
6	3	3	false	1	392
6	3	3	false	2	393
6	3	3	true	0	394
6	3	3	true	1	395
6	3	3	true	2	396
6	4	1	false	0	397
6	4	1	false	1	398
6	4	1	false	2	399
6	4	1	true	0	400
6	4	1	true	1	401
6	4	1	true	2	402
6	4	3	false	0	403
6	4	3	false	1	404
6	4	3	false	2	405
6	4	3	true	0	406
6	4	3	true	1	407
6	4	3	true	2	408
6	6	1	false	0	409
6	6	1	false	1	410
6	6	1	false	2	411
6	6	1	true	0	412
6	6	1	true	1	413
6	6	1	true	2	414
6	6	3	false	0	415
6	6	3	false	1	416
6	6	3	false	2	417
6	6	3	true	0	418
6	6	3	true	1	419
6	6	3	true	2	420
6	8	1	false	0	421
6	8	1	false	1	422
6	8	1	false	2	423
6	8	1	true	0	424
6	8	1	true	1	425
6	8	1	true	2	426
6	8	3	false	0	427
6	8	3	false	1	428
6	8	3	false	2	429
6	8	3	true	0	430
6	8	3	true	1	431
6	8	3	true	2	432
6	10	1	false	0	433
6	10	1	false	1	434
6	10	1	false	2	435
6	10	1	true	0	436
6	10	1	true	1	437
6	10	1	true	2	438
6	10	3	false	0	439
6	10	3	false	1	440
6	10	3	false	2	441
6	10	3	true	0	442
6	10	3	true	1	443
6	10	3	true	2	444
6	12	1	false	0	445	
6	12	1	false	1	446
6	12	1	false	2	447
6	12	1	true	0	448
6	12	1	true	1	449
6	12	1	true	2	450
6	12	3	false	0	451
6	12	3	false	1	452
6	12	3	false	2	453
6	12	3	true	0	454
6	12	3	true	1	455
6	12	3	true	2	456
6	14	1	false	0	457
6	14	1	false	1	458
6	14	1	false	2	459
6	14	1	true	0	460
6	14	1	true	1	461
6	14	1	true	2	462
6	14	3	false	0	463
6	14	3	false	1	464
6	14	3	false	2	465
6	14	3	true	0	466
6	14	3	true	1	467
6	14	3	true	2	468
6	16	1	false	0	469
6	16	1	false	1	470
6	16	1	false	2	471
6	16	1	true	0	472
6	16	1	true	1	473
6	16	1	true	2	474
6	16	3	false	0	475
6	16	3	false	1	476
6	16	3	false	2	477
6	16	3	true	0	478
6	16	3	true	1	479
6	16	3	true	2	480
